retweet_origin_user_id,bias,retweet_origin_username,screen_name
78400475,Center,Michiko Kakutani,michikokakutani
370122957,Center,"James P. Phillips, MD",DrPhillipsMD
18708561,Left,Mayor Ted Wheeler,tedwheeler
919385552763338752,Right,Rep. Leo Biasiucci,Leo4AzHouse
252750506,Center,Andy Pierrotti,AndyPierrotti
47685065,Center,Sadanand Dhume,dhume
1273305944902873089,Left,More Than A Vote,morethanavote
825174856350183425,Left,The Southern Lib,HilbillyLiberal
243163874,Center,Complex Music,ComplexMusic
24752038,Center,julie k. brown,jkbjournalist
27092426,Right,Ocitman,Ocitman
38978018,Right,Steve Pearce,Pearce4NM
122287198,Center,oriJONal,orijonal
240504013,Right,Katie Miller,katierosemiller
32660559,Center,Wizkid,wizkidayo
16133363,Center,Tim Shipman,ShippersUnbound
19734832,Center,Sarah Kliff,sarahkliff
19351485,Center,Aaron C. Davis,byaaroncdavis
67356654,Right,New Hampshire Republican Party,NHGOP
17839398,Left,Kenneth Roth,KenRoth
55329156,Right,RNC Research,RNCResearch
440785316,Center,Matt Stout,MattPStout
499154896,Right,Alex Bruesewitz 🇺🇸,alexbruesewitz
46315077,Right,EBMedia7 🇮🇱,ElianaBenador
193507878,Center,Abbie Bennett,AbbieRBennett
1039931087416221696,Center,Omaha Scanner,omaha_scanner
881321968301223937,Center,Funhouse,BackAftaThis
1017883562450849794,Left,Gig Workers Rising,GigWorkersRise
47415772,Left,Jill Lawrence,JillDLawrence
479727198,Center,Clint Bowyer,ClintBowyer
42277995,Left,Diego Scharifker,diegoscharifker
109458204,Right,西村幸祐,kohyu1952
2551048190,Right,Republican Party of Duval County,DuvalGOP
85764133,Left,adam harris,AdamHSays
16191793,Left,Patagonia,patagonia
325830217,Left,VP Biden (Archived),VP44
269911034,Left,Yoni Appelbaum,YAppelbaum
1327359720,Center,Lisa Abramowicz,lisaabramowicz1
3302486951,Right,Israel Advocacy Movement,israel_advocacy
1340997858,Center,Brian Schwartz,schwartzbCNBC
71567486,Center,Ahmed Ali Fayyaz,ahmedalifayyaz
285372520,Center,Ben Shockley 🇺🇸,Seitzer1
16259251,Left,REVOLT,revolttv
158129535,Center,UPS,UPS
182545611,Center,Susanne Craig,susannecraig
523248016,Right,John Solomon,jsolomonReports
19608273,Left,Dana Milbank,Milbank
21925887,Center,Michelle Nichols,michellenichols
18295206,Left,Miriam Elder,MiriamElder
635716830,Left,Antony Blinken,ABlinken
390232813,Right,🇺🇸 David J. Urban 🇺🇸,DavidJUrban
913141570802782208,Center,Hayden Center,mvhaydencenter
36429394,Center,Karen Cornett,kpgroves
36935647,Right,Jack Nicklaus,jacknicklaus
978782184,Center,Emerson College Polling,EmersonPolling
1576268089,Center,Giancarlo Sopo,GiancarloSopo
118245138,Center,Betsy Woodruff Swan,woodruffbets
24063730,Right,AZSenateRepublicans,AZSenateGOP
29216764,Right,Judge Napolitano,Judgenap
253395165,Center,Helene Miller Walsh,Helene731
574129370,Center,Jack Brewster,jbruce218
40282700,Right,María Elvira Salazar 🇺🇸,MaElviraSalazar
957024441338417154,Left,Data for Progress,DataProgress
146304535,Left,Aaron Belkin,AaronBelkin
39585367,Center,Harvard University,Harvard
77146337,Center,Sadie Gurman,sgurman
267332891,Center,Tim Wieland,CBS4Tim
70469623,Center,Russell Contreras,RussContreras
2810984968,Center,Elections Canada,ElectionsCan_E
28576863,Left,Mike McIntire,mmcintire
14677751,Left,Matea Gold,mateagold
1270521971848118272,Center,The Plot Against the President,PATPmovie
1131818069184135168,Right,Kevin W.,Brink_Thinker
14246001,Center,Mike Allen,mikeallen
